code_departement;id_prelevement;parametre_code_siseeaux;code_parametre;nom_parametre;nom_parametre_court;nom_parametre_web;qualite_parametre;analyse_in_situ;qualite_resultat_analyse;unite_code_siseeaux;unite;limite_qualite;reference_qualite;resultat;cas_parametre;reference_analyse;type_fichier;fichier_source;code_insee_commune;nom_commune;quartier;code_reseau;nom_reseau;debut_alimentation;code_reseau_amont;nom_reseau_amont;pourcentage_debit;date_prelevement;heure_prelevement;conclusion_prelevement;uge_lib;distributeur_lib;moa_lib;plv_conformite_bacterio;plv_conformite_chimique;plv_conformite_ref_bact;plv_conformite_ref_chim;source_donnee;ingestion_date;code_reseau_plv;code_insee_commune_plv;date_prelevement_plv;heure_prelevement_plv;conclusion_prelevement_plv;plv_conformite_bacterio_plv;plv_conformite_chimique_plv;uge_lib_plv;distributeur_lib_plv;moa_lib_plv;nom_reseau_com;debut_alimentation_com;record_id;quality_flag;processed_date
1;100143729;CL2LIB;1398.0;CHLORE LIBRE;Chlore libre;;N;T;0,17;mg(Cl2)/L;165;;;0.17;;;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;ac859806;OK;2026-05-06T09:24:10.646520
1;100143729;CL2TOT;1399.0;CHLORE TOTAL;Chlore total;;N;T;0,26;mg(Cl2)/L;165;;;0.26;;;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;48b91257;OK;2026-05-06T09:24:10.646520
1;100143729;COULF;1309.0;COLORATION;Coloration;;N;L;10;mg(Pt)/L;178;;<=15 mg(Pt)/L;10.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;5e560c6c;OK;2026-05-06T09:24:10.646520
1;100143729;CTF;1447.0;BACTÉRIES COLIFORMES /100ML-MS;BactÃ©ries coliformes /100ml-MS;;N;L;<1;n/(100mL);226;;<=0 n/(100mL);0.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;a7b40d5d;OK;2026-05-06T09:24:10.646520
1;100143729;ECOLI;1449.0;ESCHERICHIA COLI /100ML - MF;Escherichia coli /100ml - MF;;N;L;<1;n/(100mL);226;<=0 n/(100mL);;0.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;b1cb6145;OK;2026-05-06T09:24:10.646520
1;100143729;GT22_68;5440.0;BACT. AÉR. REVIVIFIABLES À 22°-68H;Bact. aÃ©r. revivifiables Ã  22Â°-68h;;N;L;78;n/mL;222;;;78.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;b5eda8b7;OK;2026-05-06T09:24:10.646520
1;100143729;GT36_44;5441.0;BACT. AÉR. REVIVIFIABLES À 36°-44H;Bact. aÃ©r. revivifiables Ã  36Â°-44h;;N;L;89;n/mL;222;;;89.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;243d80dd;OK;2026-05-06T09:24:10.646520
1;100143729;NH4;1335.0;AMMONIUM (EN NH4);Ammonium (en NH4);;N;L;<0,05;mg/L;162;;<=0,1 mg/L;0.0;14798-03-9;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;b483b11e;OK;2026-05-06T09:24:10.646520
1;100143729;ODQ;5901.0;ODEUR (QUALITATIF);Odeur (qualitatif);;O;L;Aucun changement anormal;SANS OBJET;X;;;0.0;;100152795.0;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;03640de9;OK;2026-05-06T09:24:10.646520
1;100143729;PH;1302.0;PH;pH;;N;T;7,80;unitÃ© pH;264;;>=6,5 et <=9 unitÃ© pH;7.8;;;RESULTATS;DIS_RESULT_2025.txt;;ARANDAS;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000265;1013;2025-01-29;10h46;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ARANDAS;MAIRIE DE ARANDAS;MAIRIE DE ARANDAS;;;a4558b39;OK;2026-05-06T09:24:10.646520
