nom_commune;samplings;avg_pollution
CROUZILLES;5;210.618
ISCHES;7;139.9
DRUYE;10;129.143
SAINT-JEAN-DE-BARROU;6;119.422
SAZILLY;6;107.184
SAINT-VIVIEN-DE-BLAYE;7;102.018
CHENONCEAUX;5;98.582
VERETZ;8;97.776
VINGRAU;11;95.148
SAINT-CIRICE;5;89.482
